name,voltage_class,lat,lon
MV/LV Substation HA***4076,LV,53.30551147,-6.24365711
MV/LV Substation BR***4077,LV,53.26765823,-6.13067579
MV/LV Substation MA***4078,LV,53.27942657,-6.14347649
MV/LV Substation BR***4079,LV,53.26169205,-6.18229771
MV/LV Substation CU***4081,LV,53.28388596,-6.14268351
MV/LV Substation MA***4082,LV,53.27938843,-6.14352322
MV/LV Substation CU***4083,LV,53.2839241,-6.1426816
MV/LV Substation FR***4086,LV,53.30162811,-6.18364668
MV/LV Substation TH***4087,LV,53.27989197,-6.14632034
MV/LV Substation FR***4088,LV,53.30158997,-6.18178844
MV/LV Substation FR***4089,LV,53.30161667,-6.18172693
MV/LV Substation BI***4090,LV,53.30038834,-6.18189955
MV/LV Substation KI***4092,LV,53.26461029,-6.15648413
MV/LV Substation IR***4093,LV,53.2800293,-6.20828295
MV/LV Substation RO***4094,LV,53.27488708,-6.1462822
MV/LV Substation CA***4095,LV,53.27009964,-6.14773321
MV/LV Substation FO***4098,LV,53.25883102,-6.17102957
MV/LV Substation PR***4099,LV,53.29194641,-6.17637873
MV/LV Substation WE***4100,LV,53.27321243,-6.17362356
MV/LV Substation AB***4101,LV,53.28381348,-6.13974762
MV/LV Substation CH***4102,LV,53.28507996,-6.14008236
MV/LV Substation HA***4103,LV,53.29182434,-6.13062572
MV/LV Substation GR***4104,LV,53.31257248,-6.22894716
MV/LV Substation TH***4105,LV,53.29199982,-6.24206686
MV/LV Substation DO***4106,LV,53.3130722,-6.22864151
MV/LV Substation ST***4107,LV,53.28326797,-6.12501621
MV/LV Substation LA***4108,LV,53.31783676,-6.21483326
MV/LV Substation FU***4109,LV,53.30343628,-6.21757936
MV/LV Substation FU***4110,LV,53.3033905,-6.21753597
MV/LV Substation EN***4111,LV,53.30162811,-6.18057156
MV/LV Substation GL***4112,LV,53.29410553,-6.18993568
MV/LV Substation MO***4113,LV,53.29373169,-6.16094446
MV/LV Substation BE***4114,LV,53.31195831,-6.20337486
MV/LV Substation LI***4115,LV,53.23370361,-6.12236071
MV/LV Substation BE***4117,LV,53.28641891,-6.20819569
MV/LV Substation SI***4119,LV,53.24457169,-6.1433382
MV/LV Substation OR***4121,LV,53.25727844,-6.16460705
MV/LV Substation BR***4122,LV,53.2575531,-6.16261721
MV/LV Substation GL***4123,LV,53.30197144,-6.212255
MV/LV Substation AP***4124,LV,53.25309372,-6.14506721
MV/LV Substation BE***4125,LV,53.25429535,-6.14565945
MV/LV Substation JO***4126,LV,53.26994705,-6.1454916
MV/LV Substation OU***4127,LV,53.2549324,-6.151371
MV/LV Substation BL***4130,LV,53.30208969,-6.18085194
MV/LV Substation TO***4131,LV,53.24188995,-6.14119244
MV/LV Substation JO***4132,LV,53.24176407,-6.138906
MV/LV Substation JO***4133,LV,53.24173737,-6.13887691
MV/LV Substation EA***4134,LV,53.23767471,-6.11481762
MV/LV Substation CH***4135,LV,53.24393463,-6.14158297
MV/LV Substation CH***4136,LV,53.24401474,-6.14165449
MV/LV Substation TA***4137,LV,53.31258774,-6.20226765
MV/LV Substation SP***4138,LV,53.27382278,-6.17634106
MV/LV Substation CH***4139,LV,53.24168396,-6.13902903
MV/LV Substation BE***4141,LV,53.28215408,-6.18952608
MV/LV Substation ST***4143,LV,53.25903702,-6.11783409
MV/LV Substation EG***4144,LV,53.25627136,-6.12663221
MV/LV Substation RU***4145,LV,53.2451973,-6.15339375
MV/LV Substation EB***4146,LV,53.29401779,-6.13541937
MV/LV Substation CU***4147,LV,53.29513168,-6.14401007
MV/LV Substation FR***4148,LV,53.3016777,-6.18214464
MV/LV Substation RO***4149,LV,53.27799606,-6.18199539
MV/LV Substation TH***4151,LV,53.29152679,-6.20726204
MV/LV Substation DO***4152,LV,53.2489357,-6.15113497
MV/LV Substation NE***4153,LV,53.2478981,-6.15020609
MV/LV Substation AC***4154,LV,53.24716568,-6.14933872
