location_id,lat,lon,traffic_volume
281,53.3582654,-6.2417088,0.0
282,53.35662048,-6.244127303,1140.63
285,53.346613,-6.263277,0.27
288,53.34470865,-6.252177025,971.74
295,53.324053,-6.265385,1079.07
297,53.33070632,-6.264359504,0.0
298,53.3753914,-6.2649413,366.79
301,53.33859582,-6.25539212,626.65
302,53.322155,-6.247637,761.47
303,53.3327329,-6.2159597,0.0
304,53.3376151,-6.2993581,282.81
305,53.3430292,-6.264531,483.47
308,53.3208108,-6.2928048,242.25
309,53.3245412,-6.2958135,0.0
311,53.30182,-6.297239,782.34
312,53.3146154,-6.28258,510.55
322,53.33102001,-6.345645189,0.07
323,53.3868829,-6.2007823,0.0
324,53.34055933,-6.270032359,427.81
325,53.3276605,-6.3092911,0.0
326,53.3282814,-6.305983,0.0
327,53.377704,-6.287545,1293.26
328,53.3437821,-6.2592361,345.43
330,53.3282968,-6.2581681,0.05
331,53.378414,-6.213154,1099.63
332,53.37899979,-6.247005468,0.0
333,53.335896,-6.3125348,411.79
334,53.3617786,-6.2467798,250.38
335,53.3794512,-6.2764399,517.52
336,53.34800232,-6.274761692,215.53
340,53.382041,-6.291203,1132.75
342,53.31971651,-6.243607063,0.0
343,53.3457809,-6.3082176,413.41
346,53.3707446,-6.253763393,0.0
347,53.36586485,-6.27124694,0.0
348,53.343528,-6.369191,712.71
351,53.35066989,-6.274203546,950.19
352,53.34289897,-6.257792079,330.19
354,53.34899654,-6.251605823,794.84
355,53.348271,-6.251592,1149.74
356,53.34746,-6.25179,1010.06
360,53.33947113,-6.258811728,306.63
362,53.3278219,-6.264698,0.05
366,53.3428385,-6.2792597,669.98
367,53.34335187,-6.274925533,1415.57
368,53.343098,-6.276149,717.38
369,53.3431909,-6.2812766,944.28
370,53.34625409,-6.291749569,692.04
372,53.341616,-6.3190213,551.52
377,53.3816229,-6.1757115,309.59
378,53.30824153,-6.254377542,843.97
379,53.324865,-6.3210868,1242.6
380,53.39079541,-6.183380909,535.61
381,53.3919511,-6.2052757,722.21
383,53.327855,-6.226933,1350.29
384,53.39113254,-6.17868027,715.29
386,53.3944814,-6.2120287,823.64
387,53.3399153,-6.2780463,0.02
388,53.3974292,-6.2197528,45.88
390,53.3252876,-6.3178594,980.26
391,53.31466534,-6.24632856,0.0
394,53.306987,-6.283729,932.81
395,53.3259776,-6.3162737,1303.78
396,53.343479,-6.288372,237.15
399,53.3436492,-6.2849135,814.57
402,53.3399682,-6.2605118,64.98
403,53.3493704,-6.25402901,1921.72
404,53.34775024,-6.291860055,783.93
405,53.367454,-6.272099,1379.14
408,53.36146888,-6.290767193,644.86
410,53.32825418,-6.336800411,1130.18
411,53.31771506,-6.20988357,715.37
412,53.3422799,-6.3461875,0.0
416,53.3559038,-6.261015,351.98
418,53.347297,-6.268342,142.99
419,53.3501487,-6.2668778,887.73
420,53.3469425,-6.2914477,1265.14
421,53.3390144,-6.2566163,561.04
422,53.361587,-6.298221,1160.57
423,53.338639,-6.299716,536.91
428,53.3700733,-6.2481006,384.07
429,53.35890489,-6.28162526,0.0
430,53.382539,-6.276368,409.35
437,53.3121294,-6.2825955,0.0
438,53.352377,-6.283848,636.56
439,53.3457323,-6.2484279,558.55
441,53.3160294,-6.2051674,865.79
443,53.36316923,-6.221922142,959.98
445,53.35789497,-6.234191937,743.92
447,53.39853006,-6.307075024,918.26
448,53.3228333,-6.2379021,0.01
454,53.34217525,-6.254550113,502.1
455,53.363481,-6.30392,0.0
456,53.391514,-6.194901,1230.8
457,53.38699934,-6.147565137,0.0
458,53.375806,-6.286491,961.68
459,53.3726239,-6.2836164,1025.93
462,53.338799,-6.2391914,1001.09
464,53.3148233,-6.2960071,0.0
465,53.33824,-6.247718,534.23
467,53.39686654,-6.187125729,637.18
468,53.3962731,-6.1625629,932.48
470,53.368239,-6.317839,1509.91
472,53.345381,-6.3798925,567.97
473,53.310125,-6.3029106,57.37
476,53.35498292,-6.229219555,836.15
479,53.32340936,-6.2500353,0.42
480,53.3247998,-6.2069724,0.0
483,53.357604,-6.2600286,0.0
484,53.3578859,-6.268684,253.55
485,53.38408797,-6.294061344,596.63
486,53.34249634,-6.293685634,917.26
487,53.3292608,-6.3344479,1047.05
488,53.3421615,-6.351317,535.04
489,53.3560978,-6.2878153,524.23
490,53.3103493,-6.2817733,309.34
492,53.36811007,-6.21206845,684.71
493,53.38566688,-6.228942275,765.46
494,53.38236051,-6.149561048,687.63
496,53.3266191,-6.2431453,41.67
498,53.3486452,-6.3531703,417.45
500,53.371902,-6.2372442,892.91
501,53.3429383,-6.3213742,1388.42
502,53.3394861,-6.3079612,1018.96
503,53.3418287,-6.3075832,1016.93
504,53.30995462,-6.273602509,485.77
506,53.3590888,-6.1958659,505.67
507,53.36373523,-6.282404065,323.14
508,53.392833,-6.245973,874.95
509,53.33925435,-6.216507913,315.44
510,53.3873301,-6.2986018,1637.4
511,53.36393054,-6.195366383,359.88
513,53.34986394,-6.250992591,845.32
515,53.371264,-6.329215,1062.42
516,53.3876134,-6.2582033,103.82
517,53.3803857,-6.236131,316.54
519,53.37761318,-6.276753364,572.77
521,53.37936936,-6.240419447,521.98
522,53.333944,-6.262979,629.32
524,53.39038876,-6.189186275,62.1
526,53.3404516,-6.3155784,0.0
528,53.379786,-6.28828,1100.85
530,53.3224012,-6.2942854,523.77
531,53.37142931,-6.202690965,724.14
532,53.3976418,-6.2295637,2102.57
533,53.362704,-6.301878,818.9
536,53.32807166,-6.208759309,0.0
540,53.39784705,-6.224204176,1118.32
543,53.38829513,-6.214774617,401.03
544,53.3459452,-6.3513999,511.22
545,53.3828458,-6.1764335,834.51
546,53.3708051,-6.2065995,0.0
548,53.3175343,-6.2859948,0.0
550,53.33639481,-6.24257178,385.43
551,53.3423246,-6.3542352,0.0
552,53.344392,-6.376485,365.63
553,53.34239,-6.338905,532.61
554,53.3431763,-6.3650815,0.0
555,53.3848357,-6.2653529,0.0
556,53.3697792,-6.277816711,573.49
559,53.34793052,-6.246103994,181.13
561,53.38010538,-6.177531807,0.0
563,53.3702812,-6.2637753,192.49
566,53.40150126,-6.264615655,1353.79
568,53.38881722,-6.298634242,0.0
569,53.3940328,-6.1662806,795.67
570,53.37808875,-6.28258769,83.84
571,53.4046279,-6.1883903,660.98
573,53.3327712,-6.3295821,656.16
575,53.38694732,-6.17362034,615.39
576,53.3161018,-6.2588382,213.52
577,53.32107133,-6.254677774,240.2
578,53.3897871,-6.3054138,0.0
580,53.37936109,-6.310932779,0.0
582,53.34419545,-6.276349215,1588.56
583,53.3180905,-6.2334111,224.55
584,53.34966933,-6.22692356,2298.27
585,53.395425,-6.163114,0.04
