location_id,lat,lon,traffic_volume,traffic_source,distance_to_nearest_substation_m,charger_count_nearby,road_density,ev_penetration_proxy
113,53.318864,-6.212947,808.88,DCC_2024_2025,91.4,0,33,0.049
114,53.326497,-6.224458,1055.7,DCC_2024_2025,111.3,0,36,0.049
115,53.338144,-6.253613,464.86,DCC_2024_2025,43.4,2,122,0.049
116,53.339619,-6.246438,463.08,DCC_2024_2025,86.9,2,126,0.049
117,53.310632,-6.248174,800.69,DCC_2024_2025,84.1,0,24,0.049
118,53.325119,-6.240932,1108.42,DCC_2024_2025,91.8,1,22,0.049
119,53.371845,-6.266552,740.7,DCC_2024_2025,51.6,0,31,0.049
120,53.337665,-6.240624,1038.04,DCC_2024_2025,54.3,2,70,0.049
121,53.357396,-6.257089,268.53,DCC_2024_2025,106.8,0,75,0.049
122,53.35485,-6.268734,416.3,DCC_2024_2025,31.3,2,117,0.049
123,53.32344,-6.260328,519.94,DCC_2024_2025,135.8,1,61,0.049
124,53.326971,-6.342872,1521.9,DCC_2024_2025,70.1,0,46,0.049
125,53.36492,-6.308256,1256.28,DCC_2024_2025,37.4,0,19,0.049
126,53.341537,-6.27226,1176.61,DCC_2024_2025,85.2,1,182,0.049
127,53.360722,-6.275144,486.96,DCC_2024_2025,78.8,0,57,0.049
128,53.359347,-6.258569,922.31,DCC_2024_2025,40.7,0,71,0.049
129,53.358421,-6.255004,805.94,DCC_2024_2025,49.0,0,69,0.049
130,53.352282,-6.298209,778.05,DCC_2024_2025,25.8,0,30,0.049
131,53.389966,-6.301264,1329.32,DCC_2024_2025,88.5,0,41,0.049
132,53.360634,-6.23904,928.14,DCC_2024_2025,47.2,0,54,0.049
133,53.336119,-6.23853,1003.34,DCC_2024_2025,100.1,2,71,0.049
134,53.332259,-6.235354,800.53,DCC_2024_2025,60.5,0,48,0.049
136,53.306949,-6.269835,796.67,DCC_2024_2025,66.0,0,25,0.049
137,53.320803,-6.259537,294.46,DCC_2024_2025,72.2,1,36,0.049
138,53.348199,-6.295636,1803.04,DCC_2024_2025,69.6,2,81,0.049
139,53.330429,-6.283808,795.99,DCC_2024_2025,99.7,0,17,0.049
